
|SF,Ch/s| BW,kHz | CR  | bit/s   | Byte/s  |
|  1024 |  31.25 | 4/5 |   244.1 |    30.5 |
|  4096 | 125.00 | 4/6 |   244.1 |    30.5 |
|   256 |  15.63 | 4/8 |   244.2 |    30.5 |
|   256 |  10.42 | 4/5 |   260.5 |    32.6 |
|  2048 |  62.50 | 4/5 |   268.6 |    33.6 |
|  1024 |  41.67 | 4/6 |   271.3 |    33.9 |
|   512 |  31.25 | 4/8 |   274.7 |    34.3 |
|   256 |  15.63 | 4/7 |   279.1 |    34.9 |
|   128 |   7.81 | 4/6 |   284.7 |    35.6 |
|   128 |  10.42 | 4/8 |   284.9 |    35.6 |
|   512 |  20.83 | 4/5 |   292.9 |    36.6 |
|  4096 | 125.00 | 4/5 |   293.0 |    36.6 |
|  1024 |  62.50 | 4/8 |   305.2 |    38.1 |
|   512 |  31.25 | 4/7 |   313.9 |    39.2 |
|   256 |  20.83 | 4/8 |   325.5 |    40.7 |
|  1024 |  41.67 | 4/5 |   325.5 |    40.7 |
|   128 |  10.42 | 4/7 |   325.6 |    40.7 |
|   256 |  15.63 | 4/6 |   325.6 |    40.7 |
|  2048 | 125.00 | 4/8 |   335.7 |    42.0 |
|   128 |   7.81 | 4/5 |   341.7 |    42.7 |
|  1024 |  62.50 | 4/7 |   348.8 |    43.6 |
|    64 |   7.81 | 4/8 |   366.1 |    45.8 |
|   512 |  31.25 | 4/6 |   366.2 |    45.8 |
|   512 |  41.67 | 4/8 |   366.2 |    45.8 |
|  4096 | 250.00 | 4/8 |   366.2 |    45.8 |
|   256 |  20.83 | 4/7 |   372.0 |    46.5 |
|   128 |  10.42 | 4/6 |   379.9 |    47.5 |
|  2048 | 125.00 | 4/7 |   383.6 |    48.0 |
|   256 |  15.63 | 4/5 |   390.8 |    48.8 |
|  1024 |  62.50 | 4/6 |   406.9 |    50.9 |
|    64 |   7.81 | 4/7 |   418.4 |    52.3 |
|  4096 | 250.00 | 4/7 |   418.5 |    52.3 |
|   512 |  41.67 | 4/7 |   418.6 |    52.3 |
|   128 |  15.63 | 4/8 |   427.4 |    53.4 |
|   256 |  20.83 | 4/6 |   434.0 |    54.2 |
|   512 |  31.25 | 4/5 |   439.5 |    54.9 |
|  2048 | 125.00 | 4/6 |   447.6 |    55.9 |
|   128 |  10.42 | 4/5 |   455.9 |    57.0 |
|    64 |   7.81 | 4/6 |   488.1 |    61.0 |
|   256 |  31.25 | 4/8 |   488.3 |    61.0 |
|   512 |  41.67 | 4/6 |   488.3 |    61.0 |
|  1024 |  62.50 | 4/5 |   488.3 |    61.0 |
|  4096 | 250.00 | 4/6 |   488.3 |    61.0 |
|    64 |  10.42 | 4/8 |   488.4 |    61.1 |
|   128 |  15.63 | 4/7 |   488.4 |    61.1 |
|   256 |  20.83 | 4/5 |   520.8 |    65.1 |
|  2048 | 125.00 | 4/5 |   537.1 |    67.1 |
|   512 |  62.50 | 4/8 |   549.3 |    68.7 |
|   256 |  31.25 | 4/7 |   558.0 |    69.8 |
|    64 |  10.42 | 4/7 |   558.2 |    69.8 |
|   128 |  20.83 | 4/8 |   569.6 |    71.2 |
|   128 |  15.63 | 4/6 |   569.8 |    71.2 |
|    64 |   7.81 | 4/5 |   585.8 |    73.2 |
|  4096 | 250.00 | 4/5 |   585.9 |    73.2 |
|   512 |  41.67 | 4/5 |   586.0 |    73.2 |
|    32 |   7.81 | 4/8 |   610.2 |    76.3 |
|  1024 | 125.00 | 4/8 |   610.4 |    76.3 |
|   512 |  62.50 | 4/7 |   627.8 |    78.5 |
|   128 |  20.83 | 4/7 |   650.9 |    81.4 |
|   256 |  31.25 | 4/6 |   651.0 |    81.4 |
|   256 |  41.67 | 4/8 |   651.1 |    81.4 |
|    64 |  10.42 | 4/6 |   651.3 |    81.4 |
|  2048 | 250.00 | 4/8 |   671.4 |    83.9 |
|   128 |  15.63 | 4/5 |   683.8 |    85.5 |
|    32 |   7.81 | 4/7 |   697.3 |    87.2 |
|  1024 | 125.00 | 4/7 |   697.5 |    87.2 |
|   512 |  62.50 | 4/6 |   732.4 |    91.6 |
|  4096 | 500.00 | 4/8 |   732.4 |    91.6 |
|    64 |  15.63 | 4/8 |   732.7 |    91.6 |
|   256 |  41.67 | 4/7 |   744.1 |    93.0 |
|   128 |  20.83 | 4/6 |   759.4 |    94.9 |
|  2048 | 250.00 | 4/7 |   767.3 |    95.9 |
|   256 |  31.25 | 4/5 |   781.3 |    97.7 |
|    64 |  10.42 | 4/5 |   781.5 |    97.7 |
|    32 |   7.81 | 4/6 |   813.5 |   101.7 |
|  1024 | 125.00 | 4/6 |   813.8 |   101.7 |
|    32 |  10.42 | 4/8 |   814.1 |   101.8 |
|  4096 | 500.00 | 4/7 |   837.1 |   104.6 |
|    64 |  15.63 | 4/7 |   837.3 |   104.7 |
|   128 |  31.25 | 4/8 |   854.5 |   106.8 |
|   256 |  41.67 | 4/6 |   868.1 |   108.5 |
|   512 |  62.50 | 4/5 |   878.9 |   109.9 |
|  2048 | 250.00 | 4/6 |   895.2 |   111.9 |
|   128 |  20.83 | 4/5 |   911.3 |   113.9 |
|    32 |  10.42 | 4/7 |   930.4 |   116.3 |
|    32 |   7.81 | 4/5 |   976.3 |   122.0 |
|    64 |  20.83 | 4/8 |   976.4 |   122.1 |
|   128 |  31.25 | 4/7 |   976.6 |   122.1 |
|   256 |  62.50 | 4/8 |   976.6 |   122.1 |
|  1024 | 125.00 | 4/5 |   976.6 |   122.1 |
|  4096 | 500.00 | 4/6 |   976.6 |   122.1 |
|    64 |  15.63 | 4/6 |   976.9 |   122.1 |
|   256 |  41.67 | 4/5 |  1041.8 |   130.2 |
|  2048 | 250.00 | 4/5 |  1074.2 |   134.3 |
|    32 |  10.42 | 4/6 |  1085.4 |   135.7 |
|   512 | 125.00 | 4/8 |  1098.6 |   137.3 |
|    64 |  20.83 | 4/7 |  1115.9 |   139.5 |
|   256 |  62.50 | 4/7 |  1116.1 |   139.5 |
|   128 |  31.25 | 4/6 |  1139.3 |   142.4 |
|   128 |  41.67 | 4/8 |  1139.4 |   142.4 |
|  4096 | 500.00 | 4/5 |  1171.9 |   146.5 |
|    64 |  15.63 | 4/5 |  1172.3 |   146.5 |
|  1024 | 250.00 | 4/8 |  1220.7 |   152.6 |
|    32 |  15.63 | 4/8 |  1221.1 |   152.6 |
|   512 | 125.00 | 4/7 |  1255.6 |   156.9 |
|    64 |  20.83 | 4/6 |  1301.9 |   162.7 |
|   256 |  62.50 | 4/6 |  1302.1 |   162.8 |
|   128 |  41.67 | 4/7 |  1302.2 |   162.8 |
|    32 |  10.42 | 4/5 |  1302.5 |   162.8 |
|  2048 | 500.00 | 4/8 |  1342.8 |   167.8 |
|   128 |  31.25 | 4/5 |  1367.2 |   170.9 |
|  1024 | 250.00 | 4/7 |  1395.1 |   174.4 |
|    32 |  15.63 | 4/7 |  1395.5 |   174.4 |
|    64 |  31.25 | 4/8 |  1464.8 |   183.1 |
|   512 | 125.00 | 4/6 |  1464.8 |   183.1 |
|   128 |  41.67 | 4/6 |  1519.2 |   189.9 |
|  2048 | 500.00 | 4/7 |  1534.6 |   191.8 |
|    64 |  20.83 | 4/5 |  1562.3 |   195.3 |
|   256 |  62.50 | 4/5 |  1562.5 |   195.3 |
|    32 |  20.83 | 4/8 |  1627.3 |   203.4 |
|  1024 | 250.00 | 4/6 |  1627.6 |   203.5 |
|    32 |  15.63 | 4/6 |  1628.1 |   203.5 |
|    64 |  31.25 | 4/7 |  1674.1 |   209.3 |
|   128 |  62.50 | 4/8 |  1709.0 |   213.6 |
|   512 | 125.00 | 4/5 |  1757.8 |   219.7 |
|  2048 | 500.00 | 4/6 |  1790.4 |   223.8 |
|   128 |  41.67 | 4/5 |  1823.1 |   227.9 |
|    32 |  20.83 | 4/7 |  1859.8 |   232.5 |
|    64 |  31.25 | 4/6 |  1953.1 |   244.1 |
|   128 |  62.50 | 4/7 |  1953.1 |   244.1 |
|   256 | 125.00 | 4/8 |  1953.1 |   244.1 |
|  1024 | 250.00 | 4/5 |  1953.1 |   244.1 |
|    64 |  41.67 | 4/8 |  1953.3 |   244.2 |
|    32 |  15.63 | 4/5 |  1953.8 |   244.2 |
|  2048 | 500.00 | 4/5 |  2148.4 |   268.6 |
|    32 |  20.83 | 4/6 |  2169.8 |   271.2 |
|   512 | 250.00 | 4/8 |  2197.3 |   274.7 |
|   256 | 125.00 | 4/7 |  2232.1 |   279.0 |
|    64 |  41.67 | 4/7 |  2232.3 |   279.0 |
|   128 |  62.50 | 4/6 |  2278.6 |   284.8 |
|    64 |  31.25 | 4/5 |  2343.8 |   293.0 |
|    32 |  31.25 | 4/8 |  2441.4 |   305.2 |
|  1024 | 500.00 | 4/8 |  2441.4 |   305.2 |
|   512 | 250.00 | 4/7 |  2511.2 |   313.9 |
|    32 |  20.83 | 4/5 |  2603.8 |   325.5 |
|   256 | 125.00 | 4/6 |  2604.2 |   325.5 |
|    64 |  41.67 | 4/6 |  2604.4 |   325.5 |
|   128 |  62.50 | 4/5 |  2734.4 |   341.8 |
|    32 |  31.25 | 4/7 |  2790.2 |   348.8 |
|  1024 | 500.00 | 4/7 |  2790.2 |   348.8 |
|    64 |  62.50 | 4/8 |  2929.7 |   366.2 |
|   512 | 250.00 | 4/6 |  2929.7 |   366.2 |
|   256 | 125.00 | 4/5 |  3125.0 |   390.6 |
|    64 |  41.67 | 4/5 |  3125.3 |   390.7 |
|    32 |  31.25 | 4/6 |  3255.2 |   406.9 |
|  1024 | 500.00 | 4/6 |  3255.2 |   406.9 |
|    32 |  41.67 | 4/8 |  3255.5 |   406.9 |
|    64 |  62.50 | 4/7 |  3348.2 |   418.5 |
|   128 | 125.00 | 4/8 |  3418.0 |   427.2 |
