+-----+-------+--------+-----+---------+---------+---------+---------+---------+
| No  |SF,Ch/s| BW,kHz | CR  |  bit/s  | Byte/s  | Tsym,ms |Tpream,ms|Tframe,ms|
|  58 |   64  |125.00 |4/6 | 7812.5 |  976.6 |    0.5 |    6.3 |  277.6 |
|  59 |   64  |125.00 |4/7 | 6696.4 |  837.1 |    0.5 |    6.3 |  322.2 |
|  60 |   64  |125.00 |4/8 | 5859.4 |  732.4 |    0.5 |    6.3 |  366.7 |
|  61 |   64  |250.00 |4/5 |18750.0 | 2343.8 |    0.3 |    3.1 |  116.5 |
|  62 |   64  |250.00 |4/6 |15625.0 | 1953.1 |    0.3 |    3.1 |  138.8 |
|  63 |   64  |250.00 |4/7 |13392.9 | 1674.1 |    0.3 |    3.1 |  161.1 |
|  64 |   64  |250.00 |4/8 |11718.8 | 1464.8 |    0.3 |    3.1 |  183.4 |
|  65 |   64  |500.00 |4/5 |37500.0 | 4687.5 |    0.1 |    1.6 |   58.3 |
|  66 |   64  |500.00 |4/6 |31250.0 | 3906.3 |    0.1 |    1.6 |   69.4 |
|  67 |   64  |500.00 |4/7 |26785.7 | 3348.2 |    0.1 |    1.6 |   80.5 |
|  68 |   64  |500.00 |4/8 |23437.5 | 2929.7 |    0.1 |    1.6 |   91.7 |
|  69 |   64  | 10.42 |4/5 |  781.5 |   97.7 |    6.1 |   75.2 | 2796.2 |
|  70 |   64  | 10.42 |4/6 |  651.3 |   81.4 |    6.1 |   75.2 | 3330.5 |
|  71 |   64  | 10.42 |4/7 |  558.2 |   69.8 |    6.1 |   75.2 | 3864.9 |
|  72 |   64  | 10.42 |4/8 |  488.4 |   61.1 |    6.1 |   75.2 | 4399.2 |
|  73 |   64  | 20.83 |4/5 | 1562.3 |  195.3 |    3.1 |   37.6 | 1398.8 |
|  74 |   64  | 20.83 |4/6 | 1301.9 |  162.7 |    3.1 |   37.6 | 1666.1 |
|  75 |   64  | 20.83 |4/7 | 1115.9 |  139.5 |    3.1 |   37.6 | 1933.4 |
|  76 |   64  | 20.83 |4/8 |  976.4 |  122.1 |    3.1 |   37.6 | 2200.7 |
|  77 |   64  | 41.67 |4/5 | 3125.3 |  390.7 |    1.5 |   18.8 |  699.2 |
|  78 |   64  | 41.67 |4/6 | 2604.4 |  325.5 |    1.5 |   18.8 |  832.8 |
|  79 |   64  | 41.67 |4/7 | 2232.3 |  279.0 |    1.5 |   18.8 |  966.5 |
|  80 |   64  | 41.67 |4/8 | 1953.3 |  244.2 |    1.5 |   18.8 | 1100.1 |
|  81 |  128  |  7.81 |4/5 |  341.7 |   42.7 |   16.4 |  200.8 | 6477.8 |
|  82 |  128  |  7.81 |4/6 |  284.7 |   35.6 |   16.4 |  200.8 | 7707.0 |
|  83 |  128  |  7.81 |4/7 |  244.1 |   30.5 |   16.4 |  200.8 | 8936.2 |
|  84 |  128  |  7.81 |4/8 |  213.6 |   26.7 |   16.4 |  200.8 |10165.4 |
|  85 |  128  | 15.63 |4/5 |  683.8 |   85.5 |    8.2 |  100.3 | 3236.9 |
|  86 |  128  | 15.63 |4/6 |  569.8 |   71.2 |    8.2 |  100.3 | 3851.1 |
|  87 |  128  | 15.63 |4/7 |  488.4 |   61.1 |    8.2 |  100.3 | 4465.3 |
|  88 |  128  | 15.63 |4/8 |  427.4 |   53.4 |    8.2 |  100.3 | 5079.5 |
|  89 |  128  | 31.25 |4/5 | 1367.2 |  170.9 |    4.1 |   50.2 | 1618.9 |
|  90 |  128  | 31.25 |4/6 | 1139.3 |  142.4 |    4.1 |   50.2 | 1926.1 |
