+-----+-------+--------+-----+---------+---------+---------+---------+---------+
| No  |SF,Ch/s| BW,kHz | CR  |  bit/s  | Byte/s  | Tsym,ms |Tpream,ms|Tframe,ms|
| 260 | 2048  |125.00 |4/8 |  335.7 |   42.0 |   16.4 |  200.7 | 6492.2 |
| 261 | 2048  |250.00 |4/5 | 1074.2 |  134.3 |    8.2 |  100.4 | 2091.0 |
| 262 | 2048  |250.00 |4/6 |  895.2 |  111.9 |    8.2 |  100.4 | 2476.0 |
| 263 | 2048  |250.00 |4/7 |  767.3 |   95.9 |    8.2 |  100.4 | 2861.1 |
| 264 | 2048  |250.00 |4/8 |  671.4 |   83.9 |    8.2 |  100.4 | 3246.1 |
| 265 | 2048  |500.00 |4/5 | 2148.4 |  268.6 |    4.1 |   50.2 | 1045.5 |
| 266 | 2048  |500.00 |4/6 | 1790.4 |  223.8 |    4.1 |   50.2 | 1238.0 |
| 267 | 2048  |500.00 |4/7 | 1534.6 |  191.8 |    4.1 |   50.2 | 1430.5 |
| 268 | 2048  |500.00 |4/8 | 1342.8 |  167.8 |    4.1 |   50.2 | 1623.0 |
| 269 | 2048  | 10.42 |4/5 |   44.8 |    5.6 |  196.5 | 2407.7 |50168.1 |
| 270 | 2048  | 10.42 |4/6 |   37.3 |    4.7 |  196.5 | 2407.7 |59405.8 |
| 271 | 2048  | 10.42 |4/7 |   32.0 |    4.0 |  196.5 | 2407.7 |68643.4 |
| 272 | 2048  | 10.42 |4/8 |   28.0 |    3.5 |  196.5 | 2407.7 |77881.0 |
| 273 | 2048  | 20.83 |4/5 |   89.5 |   11.2 |   98.3 | 1204.4 |25096.1 |
| 274 | 2048  | 20.83 |4/6 |   74.6 |    9.3 |   98.3 | 1204.4 |29717.1 |
| 275 | 2048  | 20.83 |4/7 |   63.9 |    8.0 |   98.3 | 1204.4 |34338.2 |
| 276 | 2048  | 20.83 |4/8 |   55.9 |    7.0 |   98.3 | 1204.4 |38959.2 |
| 277 | 2048  | 41.67 |4/5 |  179.1 |   22.4 |   49.1 |  602.1 |12545.0 |
| 278 | 2048  | 41.67 |4/6 |  149.2 |   18.7 |   49.1 |  602.1 |14855.0 |
| 279 | 2048  | 41.67 |4/7 |  127.9 |   16.0 |   49.1 |  602.1 |17165.0 |
| 280 | 2048  | 41.67 |4/8 |  111.9 |   14.0 |   49.1 |  602.1 |19474.9 |
| 281 | 4096  |  7.81 |4/5 |   18.3 |    2.3 |  524.5 | 6424.6 |123378.2 |
| 282 | 4096  |  7.81 |4/6 |   15.3 |    1.9 |  524.5 | 6424.6 |145929.8 |
| 283 | 4096  |  7.81 |4/7 |   13.1 |    1.6 |  524.5 | 6424.6 |168481.4 |
| 284 | 4096  |  7.81 |4/8 |   11.4 |    1.4 |  524.5 | 6424.6 |191033.0 |
| 285 | 4096  | 15.63 |4/5 |   36.6 |    4.6 |  262.1 | 3210.2 |61649.6 |
| 286 | 4096  | 15.63 |4/6 |   30.5 |    3.8 |  262.1 | 3210.2 |72918.2 |
| 287 | 4096  | 15.63 |4/7 |   26.2 |    3.3 |  262.1 | 3210.2 |84186.8 |
| 288 | 4096  | 15.63 |4/8 |   22.9 |    2.9 |  262.1 | 3210.2 |95455.4 |
| 289 | 4096  | 31.25 |4/5 |   73.2 |    9.2 |  131.1 | 1605.6 |30834.7 |
| 290 | 4096  | 31.25 |4/6 |   61.0 |    7.6 |  131.1 | 1605.6 |36470.8 |
| 291 | 4096  | 31.25 |4/7 |   52.3 |    6.5 |  131.1 | 1605.6 |42106.9 |
| 292 | 4096  | 31.25 |4/8 |   45.8 |    5.7 |  131.1 | 1605.6 |47743.0 |
| 293 | 4096  | 62.50 |4/5 |  146.5 |   18.3 |   65.5 |  802.8 |15417.3 |
| 294 | 4096  | 62.50 |4/6 |  122.1 |   15.3 |   65.5 |  802.8 |18235.4 |
| 295 | 4096  | 62.50 |4/7 |  104.6 |   13.1 |   65.5 |  802.8 |21053.4 |
| 296 | 4096  | 62.50 |4/8 |   91.6 |   11.4 |   65.5 |  802.8 |23871.5 |
| 297 | 4096  |125.00 |4/5 |  293.0 |   36.6 |   32.8 |  401.4 | 7708.7 |
| 298 | 4096  |125.00 |4/6 |  244.1 |   30.5 |   32.8 |  401.4 | 9117.7 |
| 299 | 4096  |125.00 |4/7 |  209.3 |   26.2 |   32.8 |  401.4 |10526.7 |
| 300 | 4096  |125.00 |4/8 |  183.1 |   22.9 |   32.8 |  401.4 |11935.7 |
| 301 | 4096  |250.00 |4/5 |  585.9 |   73.2 |   16.4 |  200.7 | 3854.3 |
| 302 | 4096  |250.00 |4/6 |  488.3 |   61.0 |   16.4 |  200.7 | 4558.8 |
| 303 | 4096  |250.00 |4/7 |  418.5 |   52.3 |   16.4 |  200.7 | 5263.4 |
| 304 | 4096  |250.00 |4/8 |  366.2 |   45.8 |   16.4 |  200.7 | 5967.9 |
| 305 | 4096  |500.00 |4/5 | 1171.9 |  146.5 |    8.2 |  100.4 | 1927.2 |
| 306 | 4096  |500.00 |4/6 |  976.6 |  122.1 |    8.2 |  100.4 | 2279.4 |
| 307 | 4096  |500.00 |4/7 |  837.1 |  104.6 |    8.2 |  100.4 | 2631.7 |
| 308 | 4096  |500.00 |4/8 |  732.4 |   91.6 |    8.2 |  100.4 | 2983.9 |
| 309 | 4096  | 10.42 |4/5 |   24.4 |    3.1 |  393.1 | 4815.4 |92474.5 |
| 310 | 4096  | 10.42 |4/6 |   20.4 |    2.5 |  393.1 | 4815.4 |109377.4 |
| 311 | 4096  | 10.42 |4/7 |   17.4 |    2.2 |  393.1 | 4815.4 |126280.2 |
| 312 | 4096  | 10.42 |4/8 |   15.3 |    1.9 |  393.1 | 4815.4 |143183.1 |
| 313 | 4096  | 20.83 |4/5 |   48.8 |    6.1 |  196.6 | 2408.8 |46259.4 |
| 314 | 4096  | 20.83 |4/6 |   40.7 |    5.1 |  196.6 | 2408.8 |54714.9 |
| 315 | 4096  | 20.83 |4/7 |   34.9 |    4.4 |  196.6 | 2408.8 |63170.4 |
| 316 | 4096  | 20.83 |4/8 |   30.5 |    3.8 |  196.6 | 2408.8 |71625.9 |
| 317 | 4096  | 41.67 |4/5 |   97.7 |   12.2 |   98.3 | 1204.1 |23124.2 |
| 318 | 4096  | 41.67 |4/6 |   81.4 |   10.2 |   98.3 | 1204.1 |27350.9 |
| 319 | 4096  | 41.67 |4/7 |   69.8 |    8.7 |   98.3 | 1204.1 |31577.6 |
| 320 | 4096  | 41.67 |4/8 |   61.0 |    7.6 |   98.3 | 1204.1 |35804.4 |
